ID,O3_index,O2_index,sigma_star,sigma_o3,u_g,g_r,r_i,i_z,class
0,-0.27358762,0.231169357,2.328257862,1.936722445,3.280690672,0.421998042,0.958516286,-0.776997959,1
1,0.45107164,0.937381786,2.268921621,2.418981507,2.17036594,1.061678221,0.319186839,0.442556773,4
2,0.510605282,0.151373834,1.612544018,1.86583804,0.508636,0.128126,-0.085479,0.186809,1
3,-0.071593131,0.47567681,1.705408953,1.896250673,1.299264,-0.386337,0.471262,-0.569618,1
4,0.599685757,0.548090301,2.929418926,1.919130675,2.159247441,0.386518175,0.000468383,0.200130954,1
5,0.013418157,0.427697372,2.596004435,1.949407817,3.141397,0.821104,0.754656,-2.909406,1
6,0.321805734,0.588943985,2.929418926,2.088843607,2.38661213,0.634224648,1.755158223,-1.507962555,1
7,0.604691386,0.280998864,2.186746479,1.878497811,2.077145508,0.342641207,0.058967285,0.11390921,1
8,0.179108376,0.407228033,2.929418926,1.907365693,0.531721,0.92751,0.92692,0.473041,1
9,0.626440805,0.264302882,2.929418926,1.879537694,1.592422,0.12973,0.7361,-0.385716,1
10,0.387023686,0.524951203,2.368570432,2.3112651,1.95672678,1.193386492,0.269930728,0.502497999,3
11,0.620929414,0.732553865,2.929418926,1.926339565,0.430659,0.685051,0.159435,-0.12899,2
12,0.259051244,0.465400541,1.757701977,1.879787331,0.943472,0.285368,0.234909,0.082096,1
13,0.027862798,0.464631257,1.949761804,1.916099288,1.174977361,0.605735453,0.263727187,0.10985817,1
14,0.38478802,0.213666658,2.270861853,2.226188019,2.74356,1.457204,0.605747,0.366682,4
15,-0.304850379,-0.049938645,2.415452711,2.432153494,1.994332683,1.004994612,0.412299705,0.355571609,2
16,0.208673214,0.539087635,1.875141514,1.981898557,0.877992962,0.599731104,0.258816934,0.106985617,1
17,0.279800949,0.666684484,2.473390758,2.396851642,0.639673,1.784695,0.755923,0.510448,2
18,0.389851603,0.568229588,1.613719367,1.926406711,1.785894626,0.131932721,-1.336114347,1.315607767,1
19,0.528558292,0.420124839,1.945432786,1.898701218,0.516743,0.620386,-0.113888,0.170717,1
20,-0.616710823,-0.034828672,1.83363502,1.920395229,1.765958194,0.98795078,0.328496026,0.484350833,1
21,-0.109534412,0.382605164,1.181816244,1.884221881,2.339226,-0.294548,0.287197,0.115753,1
22,0.946153743,0.634282593,1.95905024,2.150510771,1.186365583,0.558273864,0.358078553,0.065817373,3
